School,City,Perioxi,Category,Subcategory,Organization,Facebook,Website,Logo,Address,TK,Phone,email,Courses,Place,Rensponsible,Description,Verified,map block field,έτος ίδρυσης,data origin,mobile,Eidos
Studio Pilates San Tsai,Αθήνα,ΙΛΙΟΝ,Πολεμικές τέχνες,,,https://www.facebook.com/pages/%CE%91%CE%A3-%CE%9D%CE%99%CE%9A%CE%97-%CE%99%CE%9B%CE%99%CE%9F%CE%A5/131264033715210?sk=timeline,,,Αγίου Φανουρίου 49,13522,,,,,,,,,,wefit.gr,,Αθλητικός Σύλλογος
Shiai Club,Αθήνα,ΙΛΙΟΝ,Πολεμικές τέχνες,Judo,,www.facebook.com/AoiliouJudoClub/,,https://www.polemikes-tehnes.gr/pics/logos/b/20181291525671.jpg,,,210 2691601, n.antoniou61@gmail.com,,,,,,,,Polemikes-technes.gr,,
ΑΟ Οδυσσέας,Αθήνα,ΙΛΙΟΝ,Πολεμικές τέχνες,Tae Kwon Do,,https://www.facebook.com/pages/%CE%91%CE%A3-TAEKWONDO-%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%9F%CE%A3-95/156379733847?sk=timeline,,http://www.fightsports.gr/wp-content/uploads/2014/06/unnamed-3.jpg,,,210 50 29 006,ethnikos95tkd@yahoo.gr,,,,,,,,fightsports.gr,6974 727 737,Αθλητικός Σύλλογος
ΑΣ Νίκη Αμαρουσίου,Αθήνα,ΙΛΙΟΝ,Πολεμικές τέχνες,Boxing,,https://www.facebook.com/Petroutsos-Team-Boxing-CLUB-115575631938179/timeline/,,http://www.fightsports.gr/wp-content/uploads/2013/06/1375774_219429971552744_1458576141_n.png,,,,,,,,,,,,fightsports.gr,6938 544 056,
Mara Gym,Αθήνα,ΙΛΙΣΙΑ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
ananea pilates + yoga,Αθήνα,ΙΛΙΣΙΑ,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,Αθλητικός Όμιλος
ALMA Pilates,Αθήνα,ΙΛΙΣΙΑ,Πολεμικές τέχνες,,,www.facebook.com/Ying-Shou-Quan-Greece-502918036549831/,eagleclaw.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/201792420344358.jpg,,,210 7759306, info@eagleclaw.gr,,,,,,,,Polemikes-technes.gr,,Γυμναστικός Αθλητικός Σύλλογος
Doo be bop,Αθήνα,ΙΛΙΣΙΑ,Πολεμικές τέχνες,,,www.facebook.com/kungfufuego?pnref=lhc,www.yulikungfu.com/,https://www.polemikes-tehnes.gr/pics/logos/b/2016118181221151.jpg,,,, julieb16682@gmail.com,,,,,,,,Polemikes-technes.gr,,
LM GYM,Αθήνα,Ιωνικού (Ζ.Αλεξάνδρου),Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,
SHU REN KAN,Αθήνα,Κ. Κηφισιά,ΠΟΛΥΧΩΡΟΣ,,,https://www.facebook.com/atozfitness,http://www.a2zfitness.gr/?lang=el,,Μάτσα 15,14564,,antoniszervas@a2zfitness.gr,,,,,,,,wefit.gr,,
Α.Σ. ΚΟΛΩΝΟΥ ΟΜΑΔΑ ΑΛΑΪΣΚΑΣ,Αθήνα,Κ. Κηφισιά,ΠΟΛΥΧΩΡΟΣ,,,https://www.facebook.com/atozfitness,http://www.a2zfitness.gr/?lang=el,,Μάτσα 15,14564,,antoniszervas@a2zfitness.gr,,,,,,,,wefit.gr,,
ΣΑΤΟΡΙ-ΣΟΤΟΚΑΝ ΚΑΡΑΤΕ ΝΤΟ,Θεσσαλονίκη,Κ. Τούμπα,Πολεμικές τέχνες,Kung Fu,,www.facebook.com/ebmasthessaloniki/,www.ebmas-thess.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/2017214185711933.jpg,,,, ,,,,,,,,Polemikes-technes.gr,,
ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ TAEKWONDO ΒΟΡΕΙΟΥ ΕΛΛΑΔΟΣ,Αθήνα,Κ. Χαλάνδρι,Πολεμικές τέχνες,Karate,,https://www.facebook.com/pages/Tzanos-Karate-Academy-TKA/847212931983520?fref=ts,,,Σαρανταπόρου 47 ,15231,,tzanos_world@hotmail.com,,,,,,,,wefit.gr,,
Α.Σ. TAEKWONDO ΒΟΡΕΙΟΥ ΕΛΛΑΔΟΣ,Αθήνα,Κ. Χαλάνδρι,Κλειστού Χώρου,,,https://www.facebook.com/pages/Tzanos-Karate-Academy-TKA/847212931983520?fref=ts,,,Σαρανταπόρου 47 ,15231,,tzanos_world@hotmail.com,,,,,,,,wefit.gr,,
ΑΓΣ ΤΑΕΚΒΟΝΤΟ   ΚΟΡΥΔΑΛΛΟΥ,Αθήνα,Κ. Χαλάνδρι,Πολεμικές τέχνες,Karate,,www.facebook.com/TzanosKarateAcademyChalandri/,www.karatechalandri.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/2017827103350926.png,,,210 6858025, tzanos_world@hotmail.com,,,,,,,,Polemikes-technes.gr,,
Α.Σ. ΔΥΝΑΜΗ ΚΟΡΥΔΑΛΛΟΥ,Θεσσαλονίκη,Κ.Τούμπα,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΚΟΡΥΔΑΛΛΟΥ «ΤΟ ΣΠΙΤΙ ΤΗΣ ΓΡΟΘΙΑΣ»,Θεσσαλονίκη,Κ.Τούμπα,Πολεμικές τέχνες,Kung Fu,,www.facebook.com/groups/1061610760579916/,www.wingchun-gungfu.eu/,https://www.polemikes-tehnes.gr/pics/logos/b/2015821113354379.jpg,,,2310 953627, george@wingchun-gungfu.eu,,,,,,,,Polemikes-technes.gr,,
Α.Σ. Παρθενών Κορυδαλλού SKIF,Αθήνα,Καβαρνού,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,
Filis Gym,Αθήνα,Καβούρι,Αθλητισμός,Τένις,,https://www.facebook.com/kavouritennisclub.gr,http://kavouritennisclub.gr/,,Ακτής & Λητούς,16671,,info@kavouritennisclub.gr,,,,,,,,wefit.gr,,
Α.Γ.Σ. ΚΟΡΩΠΙΟΥ ΑΚΑΔΗΜΙΑ TAEKWONDO,Αθήνα,ΚΑΙΣΑΡΙΑΝΗ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Α.Γ.Σ. ΚΟΡΩΠΙΟΥ – ΕΛΛΗΝΙΚΟΣ ΠΥΡΣΟΣ,Αθήνα,ΚΑΙΣΑΡΙΑΝΗ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Curves Κορωπί,Αθήνα,ΚΑΙΣΑΡΙΑΝΗ,Πολεμικές τέχνες,,,https://www.facebook.com/jkd.gr/timeline,http://www.jkd.gr/,,Δηλού 9,16121,,,,,,,,,,wefit.gr,,
Α. Ο. ΔΥΝAMIKΗΣ ΑΥΤΟΑΜΥΝΑΣ ΚΟΡΩΠΙΟΥ,Αθήνα,ΚΑΙΣΑΡΙΑΝΗ,Πολεμικές τέχνες,,,m.facebook.com/pewkf/,,https://www.polemikes-tehnes.gr/pics/logos/b/2017102119948253.jpg,,,, pewkf@yahoo.com,,,,,,,,Polemikes-technes.gr,,
Pyrsos Fight Team (ΑΓΣ ΚΟΡΩΠΙΟΥ ΕΛ. ΠΥΡΣΟΣ),Αθήνα,ΚΑΙΣΑΡΙΑΝΗ,Πολεμικές τέχνες,,,,sites.google.com/site/wwwtaekwondoelpideskesarianis/,https://www.polemikes-tehnes.gr/pics/logos/b/201591793519390.jpg,,,, as.elpidestkd@gmail.com ,,,,,,,,Polemikes-technes.gr,,
Athens Bushido Center (UAD member),Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Ενόργανη,none,https://www.facebook.com/groups/107314746001237/,,,,,,,,,,,,,,,,
4el,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Basket,Βεργίνα,,,,,,2313252090,,"Basket Vergina ,Volley Βεργίνα",Βεργίνα Γήπεδο,"Βουρδέρης Νίκος,Αποστολίδης Γιάννης,Ζήκα Ειρήνη,Καραΐσκου Κική",,,,,,,
ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΤΑΕΚΒΟΝΤΟ ΜΑΚΕΔΟΝΙΚΗ ΑΣΠΙΔΑ ΚΟΥΦΑΛΙΩΝ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Εκπαιδευτικά,Robotics,Robot Set Go,,,,,,2392400370,info@robotsetgo.gr,Robotics,,,,,,,,,
ΑΟ ΑΡΙΩΝΑΣ ΚΟΥΦΑΛΙΩΝ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Σκάκι,ΧΑΝ Καλαμαριάς,,,,,,,,"Handball,Ποδόσφαιρο,Ποδόσφαιρο,Ποδόσφαιρο,Basket,Σκάκι",,"Κωνσταντίνος Παντελίδης,Δέσποινα Ζηκοπούλου",,,,,,,
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΜΑΚΕΔΟΝΙΚΗ ΑΣΠΙΔΑ ΚΟΥΦΑΛΙΩΝ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Κολύμβηση,none,https://www.facebook.com/a.a.albatros,,,,,,,"Κολύμβηση Αlbatros - μικρή πισίνα,Κολύμβηση Αlbatros - αγωνιστική,Κολύμβηση Αlbatros - ακαδημίες",,Αθηνά Καζάκη,,,,,,,
Γ.Α.Σ. ΚΟΥΦΑΛΙΩΝ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Ποδόσφαιρο,none,https://www.facebook.com/Aristotelis-Kalamarias-Football-Academy-594995224003883/,,,,,,,,,,,,,,,,
Aiantas Fitness Club,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Ποδόσφαιρο,none,https://www.facebook.com/aenkrinis/,,,,,,,,,,,,,,,,
Α.Σ. ΜΑΚΕΔΟΝΕΣ ΑΞΙΟΥ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Πολεμικές τέχνες,Judo,none,,http://www.atrapos.gr/index.php/schedule,,,,,,"Α.Σ. ΑΤΡΑΠΟΣ - Judo,Α.Σ. ΑΤΡΑΠΟΣ - Tae Kwon Do,Α.Σ. ΑΤΡΑΠΟΣ - JIU JITSU,Α.Σ. ΑΤΡΑΠΟΣ - Aikido,Α.Σ. ΑΤΡΑΠΟΣ - Kick Boxing,Α.Σ. ΑΤΡΑΠΟΣ - Kendo,Α.Σ. ΑΤΡΑΠΟΣ - Aikido ,Α.Σ. ΑΤΡΑΠΟΣ - Aikido,Α.Σ. ΑΤΡΑΠΟΣ - Tae Kwon Do,Α.Σ. ΑΤΡΑΠΟΣ - Judo,Α.Σ. ΑΤΡΑΠΟΣ - Tae Kwon Do,Α.Σ. ΑΤΡΑΠΟΣ - Tae Kwon Do,Α.Σ. ΑΤΡΑΠΟΣ - JIU JITSU,Α.Σ. ΑΤΡΑΠΟΣ - Aikido ,Α.Σ. ΑΤΡΑΠΟΣ - Kick Boxing,Α.Σ. ΑΤΡΑΠΟΣ - Kendo,Α.Σ. ΑΤΡΑΠΟΣ - Judo ,Α.Σ. ΑΤΡΑΠΟΣ - Kendo ΧΑΝΘ,Α.Σ. ΑΤΡΑΠΟΣ - Iaido,Α.Σ. ΑΤΡΑΠΟΣ - Hapkido,Α.Σ. ΑΤΡΑΠΟΣ - Karate",Α.Σ. ΑΤΡΑΠΟΣ,,,,,,,,Αθλητικός Σύλλογος
SEI,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Volley,none,,http://kronosvolley.gr/about/,,,,,,,,,,,,,,,
GOLDEN GYM ΚΥΨΕΛΗ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Volley,Α.Μ.Ο. ΓΑΛΑΞΙΑΣ,,,,,,,,,,,,,,,,,
SEI – KI AIKIDO DOJO,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,
Α.Ο.ΚΑΡΑΤΕ ΠΡΑΞΑΝΔΡΟΣ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,
Α.Γ.Σ. Μαχητική Ομάδα Κόσμου (PONTIKA & NAZARENKO Team),Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,
Α.Σ.Κ. ΛΑΓΚΑΔΑ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
ΑΣ ΚΡΑΤΑΙΟΣ ΘΕΣ/ΝΙΚΗΣ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΚΕΡΑΤΕΑΣ-ΛΑΓΟΝΗΣΙΟΥ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Tae Kwon Do,,,,,,,,,,,,,,,,,,
ΑΘΛΗΤΙΚΟΣ   ΟΜΙΛΟΣ ΛΑΓΟΝΗΣΙΟΥ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,
ΑΟ Λαγονησίου,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Basket,,,,,,,,,,,,,,,,,,
Athina Diving,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Μοντέρνος Χορός,,,,,,,,,,,,,,,,,,
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΦΩΤΙΑ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Μοντέρνος Χορός,,,,,,,,,,,,,,,,,,
STREET DEFENCE CLUB,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,
EVALUTION ESKRIMA HELLAS,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Planet Blue Diving Center,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Μελισσιακός ΑΟ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,
"ΣΦΑ Μελισσίων ""Ο Φοίβος""",Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΑΚΑΔΗΜΟΣ,Θεσσαλονίκη,ΚΑΛΑΜΑΡΙΑ,Αθλητισμός,Volley,,,,,,,,,,,,,,,1926,,,Μορφωτικός Γυμναστικός Σύλλογος
WorkBox,Χαλκιδική,Καλικράτεια,Αθλητισμός,Στίβος,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Kodokan Aikido Βόρειων Προαστείων,Αθήνα,ΚΑΛΛΙΘΕΑ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Γυμναστικός Αθλητικός Σύλλογος
Body trainer,Αθήνα,ΚΑΛΛΙΘΕΑ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,
Royal Academy of Kick Boxing & Muay Thai,Αθήνα,ΚΑΛΛΙΘΕΑ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
AIKIDO KODOKAN ΛΥΚΟΒΡΥΣΗ,Αθήνα,ΚΑΛΛΙΘΕΑ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Royal Academy Mogadam Team,Αθήνα,ΚΑΛΛΙΘΕΑ,Πολεμικές τέχνες,,,https://www.facebook.com/pages/%CE%91%CE%A3-%CE%98%CE%B5%CE%B1%CE%B3%CE%B5%CE%BD%CE%B7%CF%82-Tae-Kwon-Do/394184174045228,http://www.theagenis.gr/,,Χαροκόπου 115-117,17676,,gtagas73@gmail.com,,,,,,,,wefit.gr,,Αθλητικός Σύλλογος
Α.Γ.Σ. ΤΑΕΚΒΟΝΤΟ  ΚΥΜΙΝΩΝ – ΝΕΩΝ ΜΑΛΓΑΡΩΝ ΑΝΑΓΕΝΝΗΣΗ,Αθήνα,ΚΑΛΛΙΘΕΑ,Κλειστού Χώρου,,,https://www.facebook.com/JoeWeiderGyms,http://www.joegyms.gr/,,ΔΑΒΑΚΗ 37 & ΑΝΔΡΟΜΑΧΗΣ,17673,,,,,,,,,,wefit.gr,,
Γ.Α.Σ. ΜΑΝΔΡΑΣ,Αθήνα,ΚΑΛΛΙΘΕΑ,Κλειστού Χώρου,,,https://www.facebook.com/fitmebyioanna,,,Γρυπάρης 103 & Μενελάου,17672,,fitmebyioanna@yahoo.gr,,,,,,,,wefit.gr,,
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΜΑΝΔΡΑΣ,Αθήνα,ΚΑΛΛΙΘΕΑ,Κλειστού Χώρου,,,https://www.facebook.com/pages/%CE%91%CE%A3-%CE%98%CE%B5%CE%B1%CE%B3%CE%B5%CE%BD%CE%B7%CF%82-Tae-Kwon-Do/394184174045228,http://www.theagenis.gr/,,Χαροκόπου 115-117,17676,,gtagas73@gmail.com,,,,,,,,wefit.gr,,
Α.Σ. ΜΑΡΚΟΠΟΥΛΟΥ Η ΔΥΝΑΜΗ,Αθήνα,ΚΑΛΛΙΘΕΑ,Κλειστού Χώρου,,,https://www.facebook.com/pages/Body-Control-Fitness-Club/122546001166337,,,Ελ.Βενιζέλου (Θησέως) 241,17674,,nickdimakos@bodycontrol.gr,,,,,,,,wefit.gr,,
ΑΟ Μαρκοπούλου,Αθήνα,ΚΑΛΛΙΘΕΑ,Κλειστού Χώρου,,,https://www.facebook.com/pages/bodycareladies-fitness/211974048815712,http://www.bodycareladies.gr/,,Δαβάκη 68,17672,,bodycareladies@gmail.com,,,,,,,,wefit.gr,,
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΔΥΝΑΜΗ ΜΑΡΚΟΠΟΥΛΟΥ,Αθήνα,ΚΑΛΛΙΘΕΑ,Πολεμικές τέχνες,,,,www.thiseas-taekwondo.gr/,https://www.polemikes-tehnes.gr/pics/logos/b/201802822326415.jpg,,,, ,,,,,,,,Polemikes-technes.gr,,Αθλητικός Σύλλογος
Δύναμη Μαρκόπουλο,Αθήνα,ΚΑΛΛΙΘΕΑ,Πολεμικές τέχνες,Karate,,https://www.facebook.com/skarogiannis.team.karate/,,http://www.fightsports.gr/wp-content/uploads/2016/09/skarogiannis-stelios-house-of-champions-logo.jpg,,,210 95 72 736,,,,,,,,,fightsports.gr,6932 404 566 - 6980 056 394,
Aikibuddha,Αθήνα,ΚΑΛΛΙΘΕΑ,Πολεμικές τέχνες,Karate,,https://www.facebook.com/Diogenis-Team-Karate-Wado-Ryu-298950193464419/?timeline_context_item_type=intro_card_work&timeline_context_item_source=1167709575&pnref=lhc,,http://www.fightsports.gr/wp-content/uploads/2017/11/diogenis-fighters-logo.gif,,,,sfairas7@gmail.com,,,,,,,,fightsports.gr,6975 646 190,Αθλητικός Σύλλογος
Marousi Dojo,Αθήνα,ΚΑΛΛΙΘΕΑ,Πολεμικές τέχνες,Boxing,,https://www.facebook.com/ioannidis.fighting.team,www.ioannidisteam.gr,http://www.fightsports.gr/wp-content/uploads/2016/11/ioannidis-team-logo.jpg,,,210 92 36 791,teamioannidis@gmail.com,,,,,,,,fightsports.gr,6949 401 427,
Γερμανική Σχολή,Αθήνα,ΚΑΛΛΙΘΕΑ,Πολεμικές τέχνες,MMA,,https://www.facebook.com/HellasdojoMoschonas/,asdrakos.webs.com,http://www.fightsports.gr/wp-content/uploads/2014/02/181246_284930598319706_1294105599_n.jpg,,,2177 346 052,kamishinryuhellas@yahoo.com,,,,,,,,fightsports.gr,6970 885 354,Αθλητικός Σύλλογος
Ο.Α.Κ.Α.,Αθήνα,ΚΑΛΛΙΘΕΑ,Πολεμικές τέχνες,Boxing,,https://www.facebook.com/Golden-Corner-Gidakos-Team-125701560834622/?fref=ts,,http://www.fightsports.gr/wp-content/uploads/2013/04/GOLDEN-CORNER.jpg,,,210 95 75 850,,,,,,,,,fightsports.gr,6972 697 317,
Α.Σ. ΓΥΜΝΑΣΤΙΚΗΣ TAEKWONDO – ΤΑΕΚΒΟΝΤΟ ΜΕΛΙΣΣΙΩΝ,Αθήνα,ΚΑΛΛΙΘΕΑ,Πολεμικές τέχνες,Tae Kwon Do,,https://www.facebook.com/tagasteam/?fref=ts,,http://www.fightsports.gr/wp-content/uploads/2012/10/logo-theagenis.jpg,,,210 95 66 368,gtagas73@gmail.com,,,,,,,,fightsports.gr,6974 873 656,Αθλητικός Σύλλογος
Α.Σ. ΔΥΝΑΜΗ ΑΜΑΡΟΥΣΙΟΥ,Αθήνα,ΚΑΛΛΙΘΕΑ,Πολεμικές τέχνες,Tae Kwon Do,,https://www.facebook.com/groups/51387168577,,http://www.fightsports.gr/wp-content/uploads/2015/02/a.s-thiseas-logo.jpg,,,210 95 80 207,filip_tkd@windowslive.com,,,,,,,,fightsports.gr,6972 228 444 - 6977 817 834,Αθλητικός Σύλλογος
Prana yoga,Αθήνα,Καλογρέζα Νέα Ιωνία-μαιν,Πολεμικές τέχνες,Tae Kwon Do,,https://www.facebook.com/groups/TAEKWONDONEASIONIAS/?fref=ts,,,Ανδρέου δημητρίου 89,14234,,kakarelizoi@hotmail.com,,,,,,,,wefit.gr,,Αθλητικός Σύλλογος
Curves Mαρούσι,Αθήνα,Καλογρέζα Νέα Ιωνία-μαιν,Πολεμικές τέχνες,,,www.facebook.com/nikos.mrc,,https://www.polemikes-tehnes.gr/pics/logos/b/2014824114535241.jpg,,,21140992053, ,,,,,,,,Polemikes-technes.gr,,Αθλητικός Σύλλογος
Askitis Boxing-Kick Boxing Academy(Α.Ο. Διαγορας),Αθήνα,Καλογρέζα-Νέα Ιωνία,Πολεμικές τέχνες,,,https://www.facebook.com/groups/1394979094050387/,,,Βυζαντίου 121,14233,,nikosmrc@yahoo.gr,,,,,,,,wefit.gr,,Αθλητικός Σύλλογος
Sahaja Yoga,Αθήνα,Καλογρέζα-Νέα Ιωνία,Πολεμικές τέχνες,Karate,,http://www.facebook.com/groups/1394979094050387/,,http://www.fightsports.gr/wp-content/uploads/2013/12/Α.Σ-πυγμή.jpg,,,211 40 92 053,,,,,,,,,fightsports.gr,6983 109 565,Αθλητικός Σύλλογος
humankinetics,Θεσσαλονίκη,Καλοχώρι,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Swara Yoga Studio,Αθήνα,ΚΑΜΑΤΕΡΟ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Cube15,Αθήνα,ΚΑΜΑΤΕΡΟ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Α.Σ. ΚΑΡΑΤΕ-Ο ΔΡΟΜΟΣ ΤΗΣ ΕΙΡΗΝΗΣ,Αθήνα,ΚΑΜΙΝΙΑ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,
Nick's athletic center,Αθήνα,ΚΑΜΙΝΙΑ,Κλειστού Χώρου,,,https://www.facebook.com/pages/BODY-ART-GYM/42085967205?fref=ts,,,Κυπρίων Αγωνιστών 8Β,18541,,themistaktikos@gmail.com,,,,,,,,wefit.gr,,
ZEN FIGHTING CLUB,Αθήνα,Κάντζα,Πολεμικές τέχνες,Aikido,,,,,,,,,,,,,,,,,,
Titanas Gym,Αθήνα,Κάντζα,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,Αθλητικός Όμιλος
Vizantinos Target Sport Club,Αθήνα,Καπανδριτίου,Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,
Α.Σ. Καράτε «Ο δρόμος της Ειρήνης»,Αθήνα,Καρέα (Τάκης Παπαγεωργίου),Αθλητισμός,Volley,,,,,,,,,,,,,,,,,,Αθλητικός Όμιλος
Α.Σ. Καράτε «Αρμονία»,Αθήνα,Κ. Κηφισιά,Κλειστού Χώρου,,,https://www.facebook.com/pages/Orthosomia-Pilates-Yoga-Thai-Massage/213312072030018,http://www.orthosomia.gr/,,Σωκράτους 2,14561,,victory-@otenet.gr,,,,,,,,wefit.gr,,
ΣΥΛΛΟΓΟΣ   ΓΥΜΝΑΣΤΙΚΗΣ ΤΑΕΚΒΟΝΤΟ ΜΕΓΑΡΩΝ,Αθήνα,Κ. Κηφισιά,Κλειστού Χώρου,PERSONAL TRAINER,,https://www.facebook.com/pages/Orthosomia-Pilates-Yoga-Thai-Massage/213312072030018,http://www.orthosomia.gr/,,Σωκράτους 2,14561,,victory-@otenet.gr,,,,,,,,wefit.gr,,
ΟΜΙΛΟΣ ΦΙΛΩΝ   ΑΘΛΗΤΙΣΜΟΥ ΚΑΙ ΦΥΣΙΚΗΣ ΑΝΑΠΤΥΞΗΣ,Αθήνα,Κ. Πατήσσια,Θάλασσα,ΚΑΤΑΔΥΤΙΚΑ ΚΕΝΤΡΑ,,https://www.facebook.com/groups/azzurrodiving/,http://www.azzurrodiving.com/,,Χειμαρριώτου 9,:10445,,,,,,,,,,wefit.gr,,
Α.Σ. ΤΑΕΚΒΟΝΤΟ ΜΕΓΑΡΩΝ «Ο ΟΡΣΙΠΠΟΣ»,Θεσσαλονίκη,Κ. ΤΟΥΜΠΑ,Αθλητισμός,Volley,none,https://www.facebook.com/profile.php?id=100006887045096,http://aenagiastriados.blogspot.gr/,,,,,,,,,,,,,,,
TEAM WOLF 31,Θεσσαλονίκη,Κ. ΤΟΥΜΠΑ,Πολεμικές τέχνες,Tae Kwon Do,,,,,,,,,,,,,,,,,,Αθλητικός Σύλλογος
Social Arenas Melissia,Αθήνα,Κ. Χαλάνδρι,Αθλητισμός,Τένις,,https://www.facebook.com/EnosiFilonAntisfairisisHalandriou/timeline,,,Αθλητικό κέντρο Αποστολοπούλου,15231,,vasdim1969@gmail.com,,,,,,,,wefit.gr,,
ΔΗΜΟΣ ΜΕΛΙΣΣΙΩΝ-ΠΕΝΤΕΛΗΣ,Αθήνα,Κ. Χαλάνδρι,Πολεμικές τέχνες,Muay Thai,,https://www.facebook.com/fightlabnakmuay?fref=ts,www.fightlab.gr,http://www.fightsports.gr/wp-content/uploads/2015/05/logo-fight-lab.jpg,,,210 67 77 944,info@fightlab.gr,,,,,,,,fightsports.gr,6936 869 768,
ΓΥΜΝΑΣΤΙΚΟΣ ΑΘΛΗΤΙΚΟΣ ΣΥΛΛΟΓΟΣ ΧΟΛΑΡΓΟΥ,Θεσσαλονίκη,Κέντρο,Πολεμικές τέχνες,Karate,SUIBUKAN,,,,Fanariou 23,,2310455914,,"Karate Do,Kobudo,Karate Kids","11 Δημοτικού Καλαμαριάς,Δημοτικό Θεατρο Δάσους,23 Δημοτικού Καλαμαριας",,,,,,,,
